CustomerID,Recency,Frequency,Monetary,Satisfaction,Gender,Age,Churn
abag@naver.com,62,6,311650,5.5,M,29,0
agim@kakao.com,28,2,276000,7.5,F,49,0
ai@gmail.com,98,9,1413460,6.111111111111111,F,59,1
anseojun@daum.net,21,9,1519940,6.333333333333333,F,43,0
areum28@gmail.com,148,5,741000,4.6,M,43,1
areum81@naver.com,37,8,3999000,7.875,M,52,0
areum82@hanmail.net,10,9,2208770,7.222222222222222,M,45,0
areumheo@daum.net,13,6,584500,3.3333333333333335,F,46,0
baegeunji@daum.net,181,6,2209200,5.5,M,38,1
baeghyeonu@naver.com,124,10,4416800,5.3,M,57,1
baegseoyeon@naver.com,101,2,366000,4.0,F,30,1
baeyeongjin@hanmail.net,88,7,1165900,7.0,F,46,0
bagjeonghun@naver.com,16,8,3091600,4.375,F,66,0
bagminseog@daum.net,26,5,327050,5.4,M,57,0
bagogja@kakao.com,25,9,1657650,4.444444444444445,M,44,0
bagsugja@kakao.com,18,5,1323560,5.4,F,55,0
bagyeonghyi@gmail.com,93,7,1497900,3.142857142857143,F,70,1
bgim@naver.com,85,10,1612710,5.8,M,21,0
bi@gmail.com,105,3,357340,7.0,F,43,1
boram97@hanmail.net,37,6,725970,6.0,M,68,0
byeongceol64@hanmail.net,160,7,1913250,5.285714285714286,M,30,1
byeongceol97@daum.net,25,10,1625960,4.5,M,67,0
caeweongim@daum.net,52,4,1024250,5.25,F,32,0
caeweonhan@daum.net,27,4,389500,6.5,M,70,0
cajeongho@daum.net,71,8,849850,5.375,F,52,0
ccoe@kakao.com,140,6,2215000,5.166666666666667,F,35,1
cgim@naver.com,14,4,648200,6.25,F,27,0
cnam@hanmail.net,10,7,601240,5.142857142857143,M,56,0
coeeungyeong@gmail.com,104,2,548600,6.5,M,53,1
coejinu@gmail.com,23,4,702000,4.75,M,45,0
coejiu@kakao.com,19,10,2806400,5.3,M,58,0
cryu@gmail.com,52,5,2862460,5.4,M,27,0
cunja11@kakao.com,49,6,671800,5.666666666666667,M,29,0
dgim@hanmail.net,46,22,24416240,5.545454545454546,F,46,0
dgim@hanmail.net,46,22,24416240,5.545454545454546,M,44,0
dgweon@hanmail.net,49,3,1086900,2.6666666666666665,M,33,0
dmun@kakao.com,13,7,1968000,4.428571428571429,M,59,0
dohyeon01@gmail.com,32,6,1176000,4.166666666666667,M,58,0
donghyeon59@naver.com,163,6,599960,6.166666666666667,F,42,1
doyun82@naver.com,162,4,588380,4.75,F,59,1
doyunsong@daum.net,182,4,1884440,4.75,M,61,1
dsong@kakao.com,58,6,452680,5.0,M,34,0
ejin@gmail.com,13,10,1396940,5.8,F,34,0
eomseonyeong@gmail.com,56,8,600850,4.5,F,49,0
eungyeong70@gmail.com,75,3,43150,5.0,M,62,0
eungyeongbag@naver.com,21,5,1400840,5.0,F,28,0
eunjeonggim@gmail.com,244,1,6000,2.0,F,64,1
eunji06@hanmail.net,137,4,2235000,6.75,F,58,1
eunju43@daum.net,66,8,5786080,5.125,F,63,0
eunju69@gmail.com,43,6,2568170,6.0,M,36,0
eunju92@naver.com,53,6,3035910,6.333333333333333,F,55,0
eunseo19@hanmail.net,50,7,929900,6.428571428571429,M,21,0
eunyeong08@daum.net,12,6,2682500,5.5,F,55,0
eunyeong62@hanmail.net,152,1,1690000,10.0,M,30,1
eunyeonggim@naver.com,49,5,3862000,7.0,M,58,0
eunyeongjeon@kakao.com,24,10,1861660,6.4,M,44,0
fbag@gmail.com,19,5,6680000,4.2,F,35,0
fgim@hanmail.net,25,6,4980000,6.0,F,56,0
fgim@naver.com,14,4,89200,2.25,F,21,0
fgu@kakao.com,286,2,406500,4.5,F,56,1
fseo@naver.com,122,4,898510,4.25,F,25,1
fsong@gmail.com,17,5,3934600,4.8,F,59,0
fyun@hanmail.net,94,9,1229680,4.666666666666667,F,40,1
gangseoyeon@daum.net,169,3,719000,5.0,M,52,1
gbag@hanmail.net,15,6,6510680,5.5,M,32,0
gcoe@hanmail.net,73,7,1255760,4.0,M,66,0
